,Country,Year,Value(Imports),Share,Growth
433,TONGA,2021,0.0,0.0,
434,TRINIDAD,2021,189.36,0.048,124.3
435,TUNISIA,2021,123.36,0.0313,-5.93
436,TURKEY,2021,1467.33,0.372,-30.67
437,TURKMENISTAN,2021,0.3,0.0001,-92.59
438,TURKS C IS,2021,0.05,0.0,340.19
439,U ARAB EMTS,2021,26622.99,6.7496,-12.01
440,U K,2021,4955.76,1.2564,-26.17
441,U S A,2021,28888.1,7.3239,-19.35
442,UGANDA,2021,38.59,0.0098,13.57
443,UKRAINE,2021,2139.86,0.5425,3.84
444,UNSPECIFIED,2021,56.44,0.0143,-54.29
445,URUGUAY,2021,163.59,0.0415,185.81
446,US MINOR OUTLYING ISLANDS,2021,0.29,0.0001,-29.12
447,UZBEKISTAN,2021,14.94,0.0038,-77.65
448,VANUATU REP,2021,0.02,0.0,-93.88
449,VATICAN CITY,2021,0.02,0.0,-89.17
450,VENEZUELA,2021,714.24,0.1811,-88.21
451,VIETNAM SOC REP,2021,6120.66,1.5517,-15.96
452,VIRGIN IS US,2021,0.09,0.0,-98.85
453,WALLIS F IS,2021,0.0,0.0,
454,YEMEN REPUBLC,2021,23.39,0.0059,2.9
455,ZAMBIA,2021,126.5,0.0321,-85.0
456,ZIMBABWE,2021,5.71,0.0014,-58.01
457,AFGHANISTAN,2022,510.93,0.0833,0.28
458,ALBANIA,2022,30.71,0.005,269.78
459,ALGERIA,2022,1004.24,0.1638,145.66
460,AMERI SAMOA,2022,0.0,0.0,-99.74
461,ANDORRA,2022,0.0,,
462,ANGOLA,2022,2725.08,0.4445,44.97
463,ANGUILLA,2022,0.03,0.0,-83.82
464,ANTARTICA,2022,1.22,0.0002,82.35
465,ANTIGUA,2022,0.13,0.0,-6.11
466,ARGENTINA,2022,4201.74,0.6854,59.94
467,ARMENIA,2022,134.85,0.022,39.8
468,ARUBA,2022,1.77,0.0003,118.34
469,AUSTRALIA,2022,16756.17,2.7332,103.17
470,AUSTRIA,2022,825.13,0.1346,32.42
471,AZERBAIJAN,2022,104.81,0.0171,-54.24
472,BAHAMAS,2022,3.52,0.0006,-90.18
473,BAHARAIN IS,2022,753.29,0.1229,37.59
474,BANGLADESH PR,2022,1977.93,0.3226,81.19
475,BARBADOS,2022,0.84,0.0001,38.84
476,BELARUS,2022,381.08,0.0622,32.48
477,BELGIUM,2022,9951.65,1.6233,43.38
478,BELIZE,2022,0.5,0.0001,0.7
479,BENIN,2022,402.12,0.0656,23.36
480,BERMUDA,2022,0.01,0.0,-69.36
481,BHUTAN,2022,545.04,0.0889,25.87
482,BOLIVIA,2022,2072.54,0.3381,78.8
483,BOSNIA-HRZGOVIN,2022,3.03,0.0005,58.03
484,BOTSWANA,2022,527.96,0.0861,14.35
485,BR VIRGN IS,2022,14.72,0.0024,33.47
486,BRAZIL,2022,5713.28,0.9319,89.43
487,BRUNEI,2022,394.44,0.0643,19.8
488,BULGARIA,2022,173.2,0.0283,38.15
489,BURKINA FASO,2022,425.44,0.0694,18.2
490,BURUNDI,2022,0.04,0.0,-42.32
491,C AFRI REP,2022,0.18,0.0,-19.74
492,CAMBODIA,2022,94.88,0.0155,141.12
493,CAMEROON,2022,806.42,0.1315,298.3
494,CANADA,2022,3132.78,0.511,16.61
495,CAPE VERDE IS,2022,4.63,0.0008,127.36
496,CAYMAN IS,2022,0.09,0.0,-99.89
497,CHAD,2022,3.0,0.0005,-94.0
498,CHILE,2022,1371.16,0.2237,104.47
499,CHINA P RP,2022,94570.57,15.4262,45.02
500,CHRISTMAS IS.,2022,0.03,0.0,1606.55
501,COLOMBIA,2022,2964.29,0.4835,111.19
502,COMOROS,2022,14.87,0.0024,19.15
503,CONGO D. REP.,2022,31.21,0.0051,207.27
504,CONGO P REP,2022,1309.73,0.2136,432.54
505,COOK IS,2022,0.0,,
506,COSTA RICA,2022,63.28,0.0103,33.93
507,COTE D' IVOIRE,2022,468.78,0.0765,47.64
508,CROATIA,2022,59.43,0.0097,38.83
509,CUBA,2022,1.0,0.0002,-98.57
510,CYPRUS,2022,74.32,0.0121,209.87
511,CZECH REPUBLIC,2022,592.1,0.0966,50.62
512,DENMARK,2022,888.73,0.145,50.86
513,DJIBOUTI,2022,41.68,0.0068,106.7
514,DOMINIC REP,2022,648.77,0.1058,152.5
515,DOMINICA,2022,0.19,0.0,-22.68
516,ECUADOR,2022,1012.4,0.1651,203.79
517,EGYPT A RP,2022,3520.83,0.5743,86.05
518,EL SALVADOR,2022,4.11,0.0007,7.61
