,HSCode,Year,Commodity,Vol (Imports),Gowth
127,34,2020,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",113.48,6.43
128,35,2020,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,150.06,0.59
129,36,2020,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.0,-75.01
130,37,2020,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,35.69,34.72
131,38,2020,MISCELLANEOUS CHEMICAL PRODUCTS.,1386.25,15.04
132,39,2020,PLASTIC AND ARTICLES THEREOF.,2530.54,-6.79
133,40,2020,RUBBER AND ARTICLES THEREOF.,194.25,-31.44
134,41,2020,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,22.02,-44.29
135,42,2020,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",99.26,-68.83
136,43,2020,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.97,-58.15
137,44,2020,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,102.29,-23.76
138,45,2020,CORK AND ARTICLES OF CORK.,0.23,-75.57
139,46,2020,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2.3,-28.81
140,47,2020,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,20.91,-15.74
141,48,2020,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",339.42,-30.51
142,49,2020,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",13.59,-42.03
143,50,2020,SILK,43.35,-65.57
144,51,2020,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",22.34,-51.8
145,52,2020,COTTON.,67.95,-42.47
146,53,2020,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,51.9,-36.49
147,54,2020,MAN-MADE FILAMENTS.,588.47,4.86
148,55,2020,MAN-MADE STAPLE FIBRES.,380.78,5.91
149,56,2020,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",110.31,4.64
150,57,2020,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,15.63,-55.42
151,58,2020,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,65.95,-21.72
